id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
3607692,Urban Assembly Bronx Academy of Letters (The),public,"6,7,8,9,10,11,12,UG","m,h",BRONX,NY,10451,New York City Geographic District # 7,40.813671,-73.925949,3,2020.0,29.088008748928132
3607977,First Class Child Care at UUCS,private,"PK,KG","p,e",Manhasset,NY,11030,,40.785,-73.681999,,,29.09329911640797
3601077,Oldfield Middle School,public,"6,7,8,UG",m,Greenlawn,NY,11740,Harborfields Central School District,40.871117,-73.380249,7,2020.0,29.099261187816122
3401797,Franklin School,public,"KG,1,2,3,4,5,6,UG",e,Saddle Brook,NJ,07663,Saddle Brook School District,40.893349,-74.096054,4,2021.0,29.101467682403968
3403177,Apple Montessori Schools Edgewater,private,"PK,KG","p,e",Edgewater,NJ,07020,,40.829678,-73.973984,,,29.110321001155754
3601557,Shelter Rock Elementary School,public,"KG,1,2,3,4,5,6,UG",e,Manhasset,NY,11030,Manhasset Union Free School District,40.784748,-73.680382,7,2020.0,29.11660245815055
3401010,Washington School,public,"PK,KG,1,2,3,4,5,UG","p,e",Lodi,NJ,07644,Lodi School District,40.883766,-74.08223,4,2021.0,29.12440814246834
3401006,Lodi High School,public,"9,10,11,12,UG",h,Lodi,NJ,07644,Lodi School District,40.886642,-74.087013,5,2021.0,29.135743223930305
3608502,Bellvale School,private,"KG,1,2,3,4,5,6,7,8","e,m",Chester,NY,10918,,41.2915,-74.2696,,,29.145357724284487
3602963,Fostertown Etc Magnet School,public,"KG,1,2,3,4,5",e,Newburgh,NY,12550,Newburgh City School District,41.551517,-74.041489,4,2020.0,29.15488585382828
3604872,Our Lady Of Mercy Academy,private,"9,10,11,12",h,Syosset,NY,11791,,40.822903,-73.483162,,,29.15968036586427
3607375,Silverstein Hebrew Academy,private,"PK,KG,1,2,3,4,5","p,e",Great Neck,NY,11021,,40.783157,-73.733818,,,29.159738153528778
0900116,Hall School,public,"KG,1,2,3,4,5,6",e,Bridgeport,CT,06610,Bridgeport School District,41.191406,-73.159821,2,2020.0,29.16203536853617
3402555,Paterson Catholic High School,private,"9,10,11,12",h,Paterson,NJ,07514,,40.920052,-74.133446,,,29.166678265624416
3613292,International Community High School,public,"9,10,11,12",h,BRONX,NY,10454,New York City Geographic District # 7,40.810108,-73.918205,3,2020.0,29.171995973504664
3608778,Academy of Applied Mathematics and Technology,public,"6,7,8",m,BRONX,NY,10454,New York City Geographic District # 7,40.810108,-73.918205,8,2020.0,29.171995973504664
3607695,PS/IS 224,public,"6,7,8,UG",m,BRONX,NY,10454,New York City Geographic District # 7,40.810108,-73.918205,1,2020.0,29.171995973504664
3408733,Don Bosco Academy,public,"6,7,8,UG",m,Paterson,NJ,07514,Paterson Public School District,40.919449,-74.132896,2,2021.0,29.17378925522264
3618168,Hamilton Grange Middle School,public,"6,7,8,UG",m,New York,NY,10031,New York City Geographic District # 6,40.821003,-73.953339,7,2020.0,29.182045434774505
3602604,PS 192 Jacob H Schiff,public,"PK,KG,1,2,3,4,5","p,e",New York,NY,10031,New York City Geographic District # 6,40.821003,-73.953339,6,2020.0,29.182045434774505
0900758,The Burnham School,public,"KG,1,2,3,4,5",e,Bridgewater,CT,06752,Regional School District 12,41.53236,-73.364708,,,29.183221071992246
0900125,Jettie S. Tisdale School,public,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",Bridgeport,CT,06607,Bridgeport School District,41.178326,-73.160088,3,2020.0,29.194311953968707
